区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53759/石楼,小时数据,2024-12-31 06,2024-12-31 06:00:37,000,894.2,1028.3,-5.8,1.7,44,12087,0.0,-,171,2.1,165,2.6,-15.5,-7.5,-,-,12100
53759/石楼,小时数据,2024-12-31 05,2024-12-31 05:00:41,000,894.7,1028.2,-5.2,1.7,42,12188,0.0,-,155,3.6,155,3.1,-15.2,-6.5,-,-,11800
53759/石楼,小时数据,2024-12-31 04,2024-12-31 04:00:37,000,895.3,1028.7,-5.5,1.7,43,11797,0.0,-,150,2.3,143,2.0,-15.9,-7.5,-,-,11700
53759/石楼,小时数据,2024-12-31 03,2024-12-31 03:00:41,000,896.2,1029.9,-6.0,1.8,45,11686,0.0,-,180,2.5,179,2.1,-16.2,-8.5,-,-,11500
53759/石楼,小时数据,2024-12-31 02,2024-12-31 02:00:41,000,896.5,1030.6,-7.5,1.8,51,11455,0.0,-,182,1.5,173,1.2,-16.9,-14.0,-,-,11000
53759/石楼,小时数据,2024-12-31 01,2024-12-31 01:00:40,000,897.1,1031.9,-8.2,1.7,52,10625,0.0,-,223,0.8,257,0.4,-16.6,-14.0,-,-,10600
53759/石楼,小时数据,2024-12-31 00,2024-12-31 00:00:39,000,897.6,1032.4,-7.7,1.7,51,10977,0.0,-,199,0.9,200,0.9,-16.1,-11.7,-,-,10600
53759/石楼,小时数据,2024-12-30 23,2024-12-30 23:00:40,000,897.7,1032.7,-7.7,1.7,51,10592,0.0,-,120,0.3,162,0.4,-15.8,-14.0,-,-,10400
53759/石楼,小时数据,2024-12-30 22,2024-12-30 22:00:43,000,898.0,1033.2,-6.7,1.8,48,10448,0.0,-,179,0.5,182,0.5,-15.3,-13.7,-,-,10400
53759/石楼,小时数据,2024-12-30 21,2024-12-30 21:00:45,000,898.3,1033.9,-6.0,1.8,45,10436,0.0,-,PPC,0.2,282,0.4,-14.6,-12.6,-,-,10500
53759/石楼,小时数据,2024-12-30 20,2024-12-30 20:00:38,000,898.3,1033.9,-5.0,1.8,42,10592,0.0,-,12,0.4,322,0.7,-13.9,-9.9,-,-,10600
53759/石楼,小时数据,2024-12-30 19,2024-12-30 19:00:44,000,897.9,1032.9,-3.5,1.7,37,10746,0.0,-,PPC,0.0,PPC,0.2,-13.3,-12.1,-,-,10500
53759/石楼,小时数据,2024-12-30 18,2024-12-30 18:00:38,000,897.8,1032.5,-2.9,1.8,36,11080,0.0,-,4,0.8,6,1.0,-12.0,-10.3,-,-,11100
53759/石楼,小时数据,2024-12-30 17,2024-12-30 17:00:40,000,897.2,1031.3,-1.0,1.8,31,12015,0.0,-,346,1.9,335,2.1,-8.0,0.6,-,-,12100
53759/石楼,小时数据,2024-12-30 16,2024-12-30 16:00:44,000,897.0,1031.1,0.3,1.7,27,12797,0.0,-,329,2.6,348,2.1,-3.2,7.4,-,-,12800
53759/石楼,小时数据,2024-12-30 15,2024-12-30 15:00:38,000,896.9,1031.3,0.1,1.7,28,12930,0.0,-,354,3.7,355,4.0,-0.1,8.1,-,-,12700
53759/石楼,小时数据,2024-12-30 14,2024-12-30 14:00:40,000,897.1,1031.3,0.0,1.8,29,12357,0.0,-,2,2.3,354,2.9,2.3,9.7,-,-,12100
53759/石楼,小时数据,2024-12-30 13,2024-12-30 13:00:39,000,897.4,1032.1,-1.4,1.8,32,11966,0.0,-,336,2.4,347,2.2,2.5,10.4,-,-,11700
53759/石楼,小时数据,2024-12-30 12,2024-12-30 12:00:39,000,897.8,1032.5,-1.6,1.8,33,11658,0.0,-,350,3.7,354,3.9,0.8,9.1,-,-,11500
53759/石楼,小时数据,2024-12-30 11,2024-12-30 11:00:41,000,898.2,1033.2,-2.5,1.9,37,11530,0.0,-,350,3.8,357,3.4,-2.6,5.8,-,-,11400
53759/石楼,小时数据,2024-12-30 10,2024-12-30 10:00:43,000,898.0,1033.1,-3.9,1.8,40,11706,0.0,-,351,3.6,360,3.1,-7.2,3.6,-,-,11900
53759/石楼,小时数据,2024-12-30 09,2024-12-30 09:00:44,000,897.3,1032.4,-5.8,1.8,45,12075,0.0,-,4,1.8,6,1.9,-12.3,-1.3,-,-,11700
53759/石楼,小时数据,2024-12-30 08,2024-12-30 08:00:40,000,896.7,1031.9,-7.0,1.6,45,11585,0.0,-,358,1.5,359,1.5,-16.2,-9.8,-,-,11400
