epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.2168,3.38488,5.23143,3.10837,0.0006,0.175,0.0022,0.00038,4.01452,7.00901,3.39357,0.00015003,0.00015003,0.00015003
2,7.40782,3.20638,5.10055,2.93805,0.00035,0.1,0.00038,8e-05,3.8403,6.75759,2.99896,0.000313594,0.000313594,0.000313594
3,10.5038,3.16442,4.9882,2.83924,0.00037,0.175,0.00065,0.00018,3.65991,7.16898,3.15155,0.000473858,0.000473858,0.000473858
4,13.5827,3.1278,4.95915,2.84076,0.00026,0.1,0.00027,6e-05,3.41454,6.44471,3.25026,0.000630821,0.000630821,0.000630821
5,16.6732,3.16473,4.78568,2.79929,0.0003,0.075,0.00019,5e-05,3.58032,9.51335,3.38621,0.000784484,0.000784484,0.000784484
6,19.7678,3.05041,4.50856,2.84062,0.0006,0.175,0.00046,8e-05,3.48277,15.7897,3.20485,0.000934845,0.000934845,0.000934845
7,22.8335,3.09628,4.54491,2.83567,0.00064,0.2,0.00209,0.00038,3.42076,6.21611,2.96423,0.00108191,0.00108191,0.00108191
8,25.9093,3.032,4.41053,2.79548,0.00019,0.075,0.00013,4e-05,3.5607,5.91622,3.30869,0.00122567,0.00122567,0.00122567
9,28.9934,3.1254,4.41556,2.82258,0.00041,0.125,0.00024,5e-05,3.30547,90.5087,4.39286,0.00136613,0.00136613,0.00136613
10,32.0633,3.14289,4.39995,2.87613,0.00087,0.225,0.00069,0.00016,3.68052,5.91676,4.01456,0.00150329,0.00150329,0.00150329
11,35.1096,3.02036,4.34792,2.80042,0.00081,0.175,0.00074,0.00014,3.49296,6.45193,3.48584,0.00150197,0.00150197,0.00150197
12,38.2022,3.05777,4.32918,2.82605,0.00153,0.15,0.00101,0.00029,3.51337,6.2492,3.49336,0.00148546,0.00148546,0.00148546
13,41.2862,3.00925,4.2233,2.81042,0.00023,0.125,0.00018,6e-05,3.58578,6.40253,3.46963,0.00146896,0.00146896,0.00146896
14,44.3275,2.95993,4.22559,2.78765,0.00046,0.1,0.00038,7e-05,3.5269,6.80304,3.75728,0.00145246,0.00145246,0.00145246
15,47.3594,3.0982,4.2147,2.86532,0.00101,0.1,0.00087,0.0002,4.05822,9.83896,5.63594,0.00143595,0.00143595,0.00143595
16,50.4245,3.0761,4.15993,2.83876,0.00219,0.225,0.00551,0.0019,3.9729,4.90372,4.07191,0.00141945,0.00141945,0.00141945
17,53.5815,3.07041,4.19244,2.83909,0.00163,0.25,0.00191,0.00075,3.91146,4.94491,3.90675,0.00140295,0.00140295,0.00140295
18,56.6435,3.05254,4.23383,2.79454,0.00093,0.1,0.00182,0.00097,3.32425,5.2555,3.6817,0.00138644,0.00138644,0.00138644
19,59.6959,2.90405,4.09686,2.73564,0.00066,0.15,0.00077,0.00013,3.28518,4.86777,3.29446,0.00136994,0.00136994,0.00136994
20,62.7462,2.98884,4.13177,2.76013,0.00214,0.275,0.00814,0.00113,3.36326,5.32723,3.09095,0.00135344,0.00135344,0.00135344
21,65.8083,2.98282,4.12758,2.81225,0.00113,0.2,0.00122,0.00032,3.42404,5.49811,3.0919,0.00133693,0.00133693,0.00133693
22,68.8427,2.93221,4.12229,2.77788,0.00102,0.3,0.00117,0.00026,3.4069,4.52352,3.10043,0.00132043,0.00132043,0.00132043
23,71.8415,2.89567,4.0715,2.80419,0.00084,0.25,0.00123,0.00027,3.3552,4.62363,3.06828,0.00130393,0.00130393,0.00130393
24,74.9262,2.86754,4.09937,2.74641,0.00049,0.175,0.0012,0.00032,3.39665,4.93675,3.09923,0.00128742,0.00128742,0.00128742
25,78.0649,2.84636,4.04665,2.73602,0.00063,0.2,0.00092,0.00014,3.34137,4.62671,3.14909,0.00127092,0.00127092,0.00127092
26,81.2969,2.81093,4.06766,2.74647,0.00056,0.175,0.00062,9e-05,3.4081,17.273,3.5788,0.00125442,0.00125442,0.00125442
27,84.4402,2.86814,4.04935,2.76666,0.00067,0.2,0.00048,0.00011,3.35614,25.3189,3.73917,0.00123791,0.00123791,0.00123791
28,87.5561,2.84184,3.98111,2.7846,0.00083,0.25,0.00108,0.00027,3.27751,4.60072,3.44896,0.00122141,0.00122141,0.00122141
29,90.6513,2.93112,3.9553,2.79464,0.00056,0.175,0.00077,0.00012,3.26914,4.7283,3.15912,0.00120491,0.00120491,0.00120491
30,93.7352,2.95965,4.03336,2.82997,0.00102,0.3,0.00078,0.00022,3.08987,4.60723,3.10241,0.0011884,0.0011884,0.0011884
31,96.88,2.69581,3.97667,2.68397,0.00117,0.35,0.0012,0.00024,3.09378,4.39183,3.09335,0.0011719,0.0011719,0.0011719
32,99.9592,2.84162,3.96637,2.77054,0.00117,0.35,0.00167,0.00036,3.12612,4.2117,3.00865,0.0011554,0.0011554,0.0011554
33,102.974,2.80316,3.8997,2.75826,0.00142,0.425,0.00152,0.00032,3.18796,4.18344,2.9524,0.00113889,0.00113889,0.00113889
34,106.057,2.94028,3.89944,2.84229,0.00091,0.2,0.00106,0.00022,3.36382,4.57577,3.27441,0.00112239,0.00112239,0.00112239
35,109.128,2.78131,3.89264,2.72645,0.00035,0.2,0.00062,7e-05,3.73833,8.60458,9.42334,0.00110589,0.00110589,0.00110589
36,112.191,2.83387,3.94043,2.77046,0.00042,0.125,0.00027,5e-05,3.87811,8.87,5.45717,0.00108938,0.00108938,0.00108938
37,115.243,2.7995,3.96905,2.75168,0.00085,0.25,0.001,0.00022,3.10024,4.75181,3.18072,0.00107288,0.00107288,0.00107288
38,118.291,2.82414,3.93318,2.71181,0.00063,0.175,0.00051,0.00014,3.2235,4.47148,2.94971,0.00105638,0.00105638,0.00105638
39,121.362,2.83138,3.92495,2.73982,0.00139,0.375,0.00166,0.00035,3.08498,4.24741,2.85961,0.00103987,0.00103987,0.00103987
40,124.429,2.73561,3.86258,2.73788,0.0012,0.325,0.00214,0.00036,3.02406,4.59309,2.89378,0.00102337,0.00102337,0.00102337
41,127.492,2.84132,3.89547,2.76276,0.00078,0.225,0.00064,0.00022,2.95156,5.03824,2.89691,0.00100687,0.00100687,0.00100687
42,130.561,2.87444,3.91862,2.78129,0.0007,0.275,0.00073,0.00018,2.88423,4.44159,2.8967,0.000990365,0.000990365,0.000990365
43,133.595,2.76026,3.8756,2.73316,0.00114,0.325,0.00178,0.00055,2.94336,4.24359,2.968,0.000973861,0.000973861,0.000973861
44,136.649,2.81036,3.92295,2.79276,0.00117,0.325,0.00339,0.00097,3.01629,4.34873,3.00006,0.000957358,0.000957358,0.000957358
45,139.729,2.76224,3.92636,2.74986,0.0007,0.2,0.00136,0.00076,2.97729,4.46471,3.03817,0.000940855,0.000940855,0.000940855
46,142.791,2.71505,3.86282,2.76233,0.00102,0.225,0.00106,0.00028,3.02517,4.48162,3.10897,0.000924352,0.000924352,0.000924352
