epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,847.841,2.77904,4.47627,2.84177,0.00079,0.225,0.00058,0.00011,2.8477,4.45769,2.91792,0.00131218,0.00131218,0.00131218
45,870.908,2.89837,4.46758,2.86383,0,0,0,0,2.88431,4.51746,2.97213,0.00130393,0.00130393,0.00130393
46,893.503,2.80627,4.48213,2.83762,0.0003,0.025,0.00133,0.00117,2.90074,4.3024,2.98858,0.00129568,0.00129568,0.00129568
47,916.778,2.86995,4.47135,2.84687,0,0,0,0,2.95459,5.89072,3.03021,0.00128742,0.00128742,0.00128742
48,939.877,2.86413,4.47941,2.8556,0,0,0,0,3.11279,6.01085,3.07652,0.00127917,0.00127917,0.00127917
49,962.878,2.89075,4.47056,2.85065,0,0,0,0,2.91826,4.44505,3.01983,0.00127092,0.00127092,0.00127092
50,986.447,2.87552,4.49297,2.81896,0.00072,0.15,0.00047,0.0001,2.92171,4.23701,2.97199,0.00126267,0.00126267,0.00126267
51,1009.8,2.83802,4.47896,2.86212,0.00174,0.05,0.00165,0.00032,2.99321,4.37758,3.07343,0.00125442,0.00125442,0.00125442
52,1032.37,2.80733,4.44093,2.81365,0,0,0,0,2.83375,4.68453,2.99971,0.00124617,0.00124617,0.00124617
53,1054.79,2.81594,4.42115,2.79094,0.00099,0.1,0.00058,0.00014,2.80682,4.35658,2.96514,0.00123791,0.00123791,0.00123791
54,1076.11,2.84961,4.45352,2.83742,0.00054,0.05,0.00036,7e-05,2.86463,4.29688,2.99178,0.00122966,0.00122966,0.00122966
55,1097.56,2.80692,4.47298,2.80375,0.00088,0.125,0.00065,0.00017,2.95588,4.29549,3.04621,0.00122141,0.00122141,0.00122141
56,1118.52,2.90815,4.41103,2.84741,0.00029,0.05,0.00178,0.00046,3.07245,4.55707,3.62095,0.00121316,0.00121316,0.00121316
57,1139.78,2.84106,4.4096,2.8324,0.00087,0.125,0.00069,0.0002,2.84737,4.29764,2.96187,0.00120491,0.00120491,0.00120491
58,1161.5,2.83812,4.37603,2.81255,0.00106,0.2,0.00073,0.00035,2.87263,4.35547,2.96907,0.00119666,0.00119666,0.00119666
59,1183.03,2.80196,4.42119,2.7982,0.0005,0.05,0.00029,0.00017,3.04692,4.38884,3.22184,0.0011884,0.0011884,0.0011884
60,1204.16,2.84804,4.39123,2.83776,0.0002,0.025,0.00014,0.0001,2.95383,4.49772,3.02622,0.00118015,0.00118015,0.00118015
61,1224.4,2.80918,4.43749,2.76696,7e-05,0.025,3e-05,1e-05,3.14445,7.43702,5.84575,0.0011719,0.0011719,0.0011719
62,1241.99,2.83282,4.44245,2.82827,0,0,0,0,2.94319,4.36114,2.98115,0.00116365,0.00116365,0.00116365
63,1259.16,2.8193,4.43388,2.82417,0,0,0,0,3.03032,4.1991,3.05142,0.0011554,0.0011554,0.0011554
64,1276.66,2.8118,4.43752,2.81661,0.00013,0.025,0.00029,3e-05,2.87015,4.43852,2.99825,0.00114715,0.00114715,0.00114715
65,1294.15,2.76597,4.40779,2.75731,0.00027,0.075,0.0006,7e-05,2.87327,4.44428,2.94363,0.00113889,0.00113889,0.00113889
66,1311.43,2.80513,4.43022,2.772,0.0001,0.025,0.00028,3e-05,2.99498,4.39863,3.01927,0.00113064,0.00113064,0.00113064
67,1328.98,2.79695,4.41765,2.76775,0,0,0,0,3.05197,4.59151,3.04529,0.00112239,0.00112239,0.00112239
68,1346.38,2.73017,4.40103,2.73351,0.00065,0.15,0.0004,8e-05,2.95119,4.26276,3.01342,0.00111414,0.00111414,0.00111414
69,1363.76,2.80748,4.372,2.77891,9e-05,0.025,5e-05,0,2.95651,4.41379,3.02221,0.00110589,0.00110589,0.00110589
70,1381.16,2.81558,4.3928,2.78304,0.00028,0.075,0.00018,6e-05,2.97929,4.39405,3.00758,0.00109764,0.00109764,0.00109764
71,1398.57,2.82598,4.39086,2.83691,0.00131,0.075,0.00075,0.0002,2.95806,4.34453,2.99869,0.00108938,0.00108938,0.00108938
72,1416.07,2.74211,4.43337,2.8059,0.00033,0.1,0.0002,2e-05,3.02694,4.2911,3.08102,0.00108113,0.00108113,0.00108113
73,1433.44,2.81138,4.38977,2.80195,0.00029,0.075,0.00017,4e-05,2.96917,4.54074,3.05152,0.00107288,0.00107288,0.00107288
74,1450.75,2.79673,4.50285,2.79437,0.00023,0.05,0.00013,6e-05,2.87267,4.48803,2.99042,0.00106463,0.00106463,0.00106463
